Member_number,Date,itemDescription
2041,10-09-2014,dessert
2041,10-09-2014,zwieback
2041,17-07-2015,detergent
2041,17-07-2015,liquor (appetizer)
2041,19-06-2014,root vegetables
2041,19-06-2014,yogurt
2041,24-09-2015,grapes
2041,24-09-2015,grapes
2042,10-09-2014,other vegetables
2042,10-09-2014,pip fruit
2042,17-04-2014,cream cheese 
2042,17-04-2014,pasta
2042,17-04-2014,shopping bags
2042,17-04-2014,tropical fruit
2042,17-11-2015,root vegetables
2042,17-11-2015,yogurt
2042,19-11-2015,meat
2042,19-11-2015,pork
2042,19-12-2014,curd
2042,19-12-2014,newspapers
2042,31-08-2014,brown bread
2042,31-08-2014,hygiene articles
2043,01-02-2014,brown bread
2043,01-02-2014,waffles
2043,03-02-2014,curd
2043,03-02-2014,other vegetables
2043,07-03-2015,bottled water
2043,07-03-2015,rolls/buns
2043,07-07-2014,fruit/vegetable juice
2043,07-07-2014,shopping bags
2043,21-04-2015,UHT-milk
2043,21-04-2015,bottled water
2043,21-04-2015,fruit/vegetable juice
2043,21-04-2015,long life bakery product
2043,21-04-2015,other vegetables
2043,21-04-2015,pastry
2043,21-04-2015,tropical fruit
2043,21-04-2015,tropical fruit
2044,16-12-2015,meat
2044,16-12-2015,semi-finished bread
2044,17-03-2014,butter
2044,17-03-2014,whole milk
2044,17-03-2014,yogurt
2044,26-09-2015,domestic eggs
2044,26-09-2015,shopping bags
2044,26-11-2014,pastry
2044,26-11-2014,pip fruit
2045,02-04-2014,other vegetables
2045,02-04-2014,soft cheese
2045,02-04-2014,tropical fruit
2045,05-04-2014,pickled vegetables
2045,05-04-2014,whole milk
2045,07-12-2015,grapes
2045,07-12-2015,pork
2045,09-07-2014,frozen vegetables
2045,09-07-2014,whole milk
2045,10-02-2014,brandy
2045,10-02-2014,soda
2045,11-04-2014,whole milk
2045,11-04-2014,yogurt
2045,16-08-2015,pork
2045,16-08-2015,sweet spreads
2046,21-08-2015,dessert
2046,21-08-2015,pork
2046,28-02-2015,bottled water
2046,28-02-2015,pork
2046,28-02-2015,tea
2047,05-01-2014,cat food
2047,05-01-2014,tropical fruit
2047,08-05-2015,canned beer
2047,08-05-2015,meat
2047,08-05-2015,soda
2047,12-05-2014,newspapers
2047,12-05-2014,sausage
2047,20-12-2015,bottled water
2047,20-12-2015,frozen vegetables
2047,20-12-2015,pip fruit
2047,28-04-2014,semi-finished bread
2047,28-04-2014,waffles
2048,07-11-2014,fruit/vegetable juice
2048,07-11-2014,root vegetables
2048,16-12-2015,pork
2048,16-12-2015,sugar
2048,17-12-2014,other vegetables
2048,17-12-2014,rolls/buns
2048,24-02-2014,pip fruit
2048,24-02-2014,semi-finished bread
2048,24-11-2014,berries
2048,24-11-2014,whole milk
2048,30-10-2014,frozen vegetables
2048,30-10-2014,hamburger meat
2049,02-04-2014,other vegetables
2049,02-04-2014,other vegetables
2049,02-04-2014,whole milk
2049,02-09-2014,dessert
2049,02-09-2014,ham
2049,06-01-2015,grapes
2049,06-01-2015,pork
2049,07-10-2015,tropical fruit
2049,07-10-2015,whole milk
2050,20-10-2014,UHT-milk
2050,20-10-2014,rolls/buns
2050,28-06-2015,other vegetables
2050,28-06-2015,whipped/sour cream
2051,01-05-2014,cream cheese 
2051,01-05-2014,flour
2051,02-01-2015,cocoa drinks
2051,02-01-2015,domestic eggs
2051,02-01-2015,photo/film
2051,03-12-2014,newspapers
2051,03-12-2014,other vegetables
2051,03-12-2014,rolls/buns
2051,11-09-2015,frankfurter
2051,11-09-2015,frankfurter
2051,11-09-2015,hygiene articles
2051,11-09-2015,long life bakery product
2051,11-09-2015,newspapers
2051,11-09-2015,pip fruit
2051,11-09-2015,whipped/sour cream
2051,14-11-2015,beef
2051,14-11-2015,canned beer
2051,14-11-2015,coffee
2051,14-11-2015,whole milk
2051,20-01-2014,meat
2051,20-01-2014,rolls/buns
2051,20-04-2015,brown bread
2051,20-04-2015,other vegetables
2051,20-04-2015,pork
2051,20-04-2015,whole milk
2051,23-07-2015,beverages
2051,23-07-2015,fruit/vegetable juice
2051,23-07-2015,ice cream
2051,23-07-2015,other vegetables
2051,23-07-2015,other vegetables
2051,23-07-2015,prosecco
2051,23-07-2015,root vegetables
2051,23-07-2015,soda
2053,17-09-2015,cereals
2053,17-09-2015,cream cheese 
2053,17-09-2015,other vegetables
2053,19-08-2014,rolls/buns
2053,19-08-2014,soda
2053,21-09-2015,citrus fruit
2053,21-09-2015,rolls/buns
2053,21-09-2015,yogurt
2054,06-08-2014,liquor (appetizer)
2054,06-08-2014,shopping bags
2054,06-08-2014,white bread
2054,15-12-2015,butter
2054,15-12-2015,citrus fruit
2054,15-12-2015,margarine
2054,15-12-2015,roll products 
2054,15-12-2015,soda
2054,15-12-2015,whole milk
2054,21-11-2014,chewing gum
2054,21-11-2014,shopping bags
2054,21-11-2014,yogurt
2055,02-05-2015,beverages
2055,02-05-2015,sausage
2055,04-02-2015,chicken
2055,04-02-2015,newspapers
2055,04-02-2015,pip fruit
2055,07-07-2015,other vegetables
2055,07-07-2015,photo/film
2055,07-11-2014,brown bread
2055,07-11-2014,domestic eggs
2055,08-11-2015,other vegetables
2055,08-11-2015,sugar
2055,14-12-2014,newspapers
2055,14-12-2014,sausage
2055,14-12-2014,soda
2055,31-05-2014,rolls/buns
2055,31-05-2014,soda
2055,31-05-2014,yogurt
2056,03-07-2015,beef
2056,03-07-2015,bottled water
2056,03-07-2015,soda
2056,14-05-2014,canned vegetables
2056,14-05-2014,processed cheese
2056,19-12-2014,condensed milk
2056,19-12-2014,curd
2056,19-12-2014,flower soil/fertilizer
2056,19-12-2014,hard cheese
2056,21-05-2014,potato products
2056,21-05-2014,root vegetables
2056,21-05-2014,whole milk
2056,24-11-2015,margarine
2056,24-11-2015,newspapers
2056,24-11-2015,pastry
2056,24-11-2015,root vegetables
2056,26-12-2014,citrus fruit
2056,26-12-2014,soda
2057,13-11-2015,citrus fruit
2057,13-11-2015,shopping bags
2057,13-11-2015,soda
2057,16-04-2014,UHT-milk
2057,16-04-2014,tropical fruit
2058,02-04-2014,other vegetables
2058,02-04-2014,rolls/buns
2058,04-06-2015,chocolate marshmallow
2058,04-06-2015,fruit/vegetable juice
2058,04-06-2015,soda
2058,08-05-2014,frozen vegetables
2058,08-05-2014,hygiene articles
2058,08-05-2014,pip fruit
2058,24-02-2015,domestic eggs
2058,24-02-2015,other vegetables
2058,24-02-2015,red/blush wine
2058,24-02-2015,yogurt
2059,07-09-2014,napkins
2059,07-09-2014,whole milk
2059,15-03-2014,curd
2059,15-03-2014,sausage
2059,15-03-2014,yogurt
2059,17-02-2014,long life bakery product
2059,17-02-2014,tropical fruit
2059,31-05-2014,domestic eggs
2059,31-05-2014,ham
2060,25-05-2014,brown bread
2060,25-05-2014,salty snack
2060,25-05-2014,soups
2060,26-07-2015,pip fruit
2060,26-07-2015,specialty fat
2061,05-04-2015,misc. beverages
2061,05-04-2015,whole milk
2061,12-02-2015,beef
2061,12-02-2015,flower (seeds)
2061,15-12-2015,sausage
2061,15-12-2015,sparkling wine
2061,27-12-2015,long life bakery product
2061,27-12-2015,soda
2061,27-12-2015,tropical fruit
2061,27-12-2015,tropical fruit
2061,27-12-2015,tropical fruit
2062,03-09-2015,bottled beer
2062,03-09-2015,pork
2062,22-08-2014,domestic eggs
2062,22-08-2014,misc. beverages
2062,22-08-2014,onions
2062,22-08-2014,whole milk
2062,22-09-2015,shopping bags
2062,22-09-2015,whole milk
2063,02-06-2014,brandy
2063,02-06-2014,pastry
2063,08-11-2015,frankfurter
2063,08-11-2015,sliced cheese
2063,08-11-2015,sugar
2063,10-09-2015,newspapers
2063,10-09-2015,soups
2063,23-08-2015,cream cheese 
2063,23-08-2015,sausage
2063,26-05-2014,onions
2063,26-05-2014,other vegetables
2063,27-11-2015,herbs
2063,27-11-2015,root vegetables
2064,06-04-2014,hard cheese
2064,06-04-2014,salad dressing
2064,18-03-2014,oil
2064,18-03-2014,pork
2064,21-08-2015,brown bread
2064,21-08-2015,ice cream
2064,21-08-2015,rolls/buns
2064,21-08-2015,whole milk
2065,01-03-2014,sausage
2065,01-03-2014,white bread
2065,20-07-2014,pastry
2065,20-07-2014,specialty bar
2065,20-10-2014,soda
2065,20-10-2014,sugar
2065,22-01-2015,coffee
2065,22-01-2015,other vegetables
2065,22-01-2015,pip fruit
2065,28-01-2014,other vegetables
2065,28-01-2014,soda
2065,28-11-2014,soda
2065,28-11-2014,waffles
2065,28-11-2014,whipped/sour cream
2066,05-02-2014,flour
2066,05-02-2014,frozen vegetables
2066,05-02-2014,pickled vegetables
2066,21-05-2015,pip fruit
2066,21-05-2015,zwieback
2066,23-03-2015,pasta
2066,23-03-2015,whole milk
2066,23-03-2015,yogurt
2066,29-12-2014,hard cheese
2066,29-12-2014,pastry
2066,29-12-2014,specialty chocolate
2066,29-12-2014,yogurt
2067,03-07-2014,brown bread
2067,03-07-2014,canned beer
2067,05-04-2014,beverages
2067,05-04-2014,bottled water
2067,05-04-2014,yogurt
2067,10-10-2014,jam
2067,10-10-2014,root vegetables
2067,12-08-2015,meat
2067,12-08-2015,root vegetables
2068,02-06-2014,specialty vegetables
2068,02-06-2014,yogurt
2068,07-04-2015,rolls/buns
2068,07-04-2015,sausage
2068,07-06-2015,frankfurter
2068,07-06-2015,whole milk
2068,21-07-2014,cleaner
2068,21-07-2014,coffee
2068,21-07-2014,female sanitary products
2068,21-07-2014,sauces
2068,22-08-2014,rolls/buns
2068,22-08-2014,whole milk
2069,02-07-2015,chicken
2069,02-07-2015,fruit/vegetable juice
2069,10-02-2015,pork
2069,10-02-2015,specialty chocolate
2069,10-06-2014,napkins
2069,10-06-2014,root vegetables
2069,12-11-2014,canned fish
2069,12-11-2014,newspapers
2069,16-03-2015,citrus fruit
2069,16-03-2015,sugar
2070,13-04-2014,oil
2070,13-04-2014,skin care
2070,16-07-2015,frankfurter
2070,16-07-2015,oil
2070,16-07-2015,soda
2070,16-08-2015,ice cream
2070,16-08-2015,pip fruit
2070,19-12-2015,baby cosmetics
2070,19-12-2015,bottled water
2070,20-12-2014,frozen dessert
2070,20-12-2014,pot plants
2070,24-03-2015,citrus fruit
2070,24-03-2015,citrus fruit
2070,24-03-2015,other vegetables
2070,24-03-2015,yogurt
2070,27-04-2014,cake bar
2070,27-04-2014,domestic eggs
2070,27-04-2014,napkins
2070,27-04-2014,root vegetables
2070,28-06-2015,bottled water
2070,28-06-2015,sausage
2070,28-06-2015,spread cheese
2070,29-03-2014,candy
2070,29-03-2014,pip fruit
2071,14-10-2015,beef
2071,14-10-2015,whole milk
2071,24-03-2014,Instant food products
2071,24-03-2014,citrus fruit
2071,24-03-2014,jam
2071,24-03-2014,specialty bar
2071,30-09-2015,canned beer
2071,30-09-2015,whole milk
2071,31-07-2014,butter
2071,31-07-2014,pip fruit
2072,12-08-2014,chocolate
2072,12-08-2014,chocolate
2072,12-08-2014,processed cheese
2072,12-08-2014,yogurt
2072,18-02-2014,newspapers
2072,18-02-2014,salty snack
2072,19-02-2015,pip fruit
2072,19-02-2015,root vegetables
2072,28-11-2015,frankfurter
2072,28-11-2015,other vegetables
2072,29-07-2014,chewing gum
2072,29-07-2014,margarine
2072,29-07-2014,root vegetables
2073,04-02-2015,sausage
2073,04-02-2015,whole milk
2073,14-05-2015,herbs
2073,14-05-2015,tropical fruit
2073,18-06-2015,domestic eggs
2073,18-06-2015,frankfurter
2073,30-04-2015,canned fish
2073,30-04-2015,chocolate
2073,30-04-2015,rolls/buns
2074,10-04-2015,canned beer
2074,10-04-2015,chocolate
2074,10-04-2015,citrus fruit
2074,10-04-2015,dish cleaner
2074,10-04-2015,waffles
2074,20-12-2015,UHT-milk
2074,20-12-2015,bottled water
2074,23-01-2015,chicken
2074,23-01-2015,oil
2074,27-08-2014,candy
2074,27-08-2014,other vegetables
2075,03-05-2014,citrus fruit
2075,03-05-2014,rolls/buns
2075,06-05-2014,sausage
2075,06-05-2014,soda
2075,20-01-2015,baking powder
2075,20-01-2015,root vegetables
2076,04-12-2015,frankfurter
2076,04-12-2015,margarine
2076,06-09-2014,hygiene articles
2076,06-09-2014,rolls/buns
2076,13-10-2014,bottled beer
2076,13-10-2014,whole milk
2076,14-01-2014,salty snack
2076,14-01-2014,softener
2077,01-03-2015,beef
2077,01-03-2015,whole milk
2077,07-05-2015,bottled water
2077,07-05-2015,butter
2077,07-05-2015,coffee
2077,07-05-2015,roll products 
2077,07-05-2015,rum
2077,15-05-2015,butter
2077,15-05-2015,chicken
2077,15-05-2015,citrus fruit
2077,15-05-2015,rolls/buns
2077,15-05-2015,soft cheese
2077,15-05-2015,specialty bar
2077,28-04-2014,hard cheese
2077,28-04-2014,male cosmetics
2078,14-05-2014,cream cheese 
2078,14-05-2014,shopping bags
2078,14-05-2014,soda
2078,16-10-2015,newspapers
2078,16-10-2015,pork
2078,16-10-2015,tropical fruit
2079,04-11-2014,soda
2079,04-11-2014,tropical fruit
2079,16-05-2015,shopping bags
2079,16-05-2015,soda
2079,16-05-2015,whole milk
2079,19-07-2015,curd
2079,19-07-2015,pet care
2079,19-07-2015,whole milk
2079,25-02-2014,beverages
2079,25-02-2014,napkins
2079,25-02-2014,other vegetables
2079,25-02-2014,sliced cheese
2079,26-08-2014,domestic eggs
2079,26-08-2014,turkey
2080,21-04-2015,tropical fruit
2080,21-04-2015,whole milk
2080,23-07-2014,canned beer
2080,23-07-2014,long life bakery product
2080,23-07-2014,specialty vegetables
2081,14-02-2014,hamburger meat
2081,14-02-2014,seasonal products
2081,18-05-2014,hamburger meat
2081,18-05-2014,whole milk
2081,22-01-2015,UHT-milk
2081,22-01-2015,butter milk
2081,22-01-2015,citrus fruit
2081,22-01-2015,frankfurter
2081,22-01-2015,spices
2081,22-01-2015,tropical fruit
2082,07-04-2015,frankfurter
2082,07-04-2015,other vegetables
2082,10-10-2014,butter
2082,10-10-2014,fruit/vegetable juice
2082,10-10-2014,rolls/buns
2082,21-06-2015,UHT-milk
2082,21-06-2015,bottled water
2082,21-06-2015,pastry
2082,23-11-2015,brown bread
2082,23-11-2015,domestic eggs
2083,07-11-2015,grapes
2083,07-11-2015,ice cream
2083,07-11-2015,sweet spreads
2083,07-11-2015,tropical fruit
2083,19-06-2015,other vegetables
2083,19-06-2015,sausage
2083,21-10-2014,brown bread
2083,21-10-2014,coffee
2083,28-03-2015,bottled water
2083,28-03-2015,brandy
2083,28-03-2015,whole milk
2083,28-03-2015,whole milk
2084,11-10-2014,beverages
2084,11-10-2014,cat food
2084,15-08-2015,root vegetables
2084,15-08-2015,root vegetables
2085,03-01-2014,domestic eggs
2085,03-01-2014,soda
2085,04-04-2015,domestic eggs
2085,04-04-2015,pip fruit
2085,22-04-2015,candy
2085,22-04-2015,soda
2085,25-03-2015,beef
2085,25-03-2015,pip fruit
2086,02-06-2015,frozen vegetables
2086,02-06-2015,napkins
2086,02-12-2014,bottled water
2086,02-12-2014,root vegetables
2086,08-01-2014,butter
2086,08-01-2014,root vegetables
2086,09-03-2015,bottled beer
2086,09-03-2015,chicken
2086,09-03-2015,frankfurter
2086,09-03-2015,meat
2086,09-03-2015,misc. beverages
2086,09-03-2015,other vegetables
2086,09-03-2015,pastry
2086,09-03-2015,root vegetables
2086,09-03-2015,salt
2086,18-06-2014,detergent
2086,18-06-2014,liquor
2086,18-06-2014,sparkling wine
2086,29-05-2014,soda
2086,29-05-2014,whole milk
2087,09-04-2015,brown bread
2087,09-04-2015,pastry
2087,09-04-2015,tropical fruit
2087,09-04-2015,whole milk
2087,21-08-2014,pickled vegetables
2087,21-08-2014,seasonal products
2087,22-02-2015,citrus fruit
2087,22-02-2015,other vegetables
2087,29-06-2014,dog food
2087,29-06-2014,whole milk
2088,09-02-2015,pastry
2088,09-02-2015,yogurt
2088,21-09-2014,dishes
2088,21-09-2014,newspapers
2088,21-09-2014,root vegetables
2089,03-05-2014,margarine
2089,03-05-2014,pastry
2089,10-08-2014,bottled beer
2089,10-08-2014,pasta
2089,15-10-2015,cream cheese 
2089,15-10-2015,whole milk
2089,16-10-2015,curd
2089,16-10-2015,grapes
2089,17-04-2015,UHT-milk
2089,17-04-2015,brown bread
2089,17-04-2015,canned beer
2089,17-04-2015,grapes
2089,20-08-2014,other vegetables
2089,20-08-2014,soda
2089,31-10-2015,canned beer
2089,31-10-2015,hard cheese
2091,02-08-2015,candy
2091,02-08-2015,canned beer
2091,02-08-2015,ice cream
2091,18-01-2014,photo/film
2091,18-01-2014,vinegar
2091,19-10-2015,brown bread
2091,19-10-2015,dish cleaner
2091,19-10-2015,pastry
2091,19-10-2015,pet care
2091,30-07-2015,citrus fruit
2091,30-07-2015,onions
2092,01-04-2014,canned fish
2092,01-04-2014,salty snack
2092,01-04-2014,salty snack
2092,04-09-2015,beverages
2092,04-09-2015,brown bread
2092,04-09-2015,pasta
2092,04-09-2015,pip fruit
2092,04-09-2015,rolls/buns
2092,04-09-2015,sausage
2092,04-09-2015,tropical fruit
2092,06-11-2015,margarine
2092,06-11-2015,newspapers
2092,06-11-2015,root vegetables
2092,17-12-2014,bottled water
2092,17-12-2014,salty snack
2092,24-05-2015,rum
2092,24-05-2015,sausage
2093,01-06-2014,canned vegetables
2093,01-06-2014,napkins
2093,02-06-2014,other vegetables
2093,02-06-2014,whole milk
2093,03-05-2014,oil
2093,03-05-2014,tropical fruit
2093,12-06-2015,bottled beer
2093,12-06-2015,candy
2093,12-06-2015,frozen potato products
2093,12-06-2015,pastry
2093,12-06-2015,rolls/buns
2093,12-06-2015,whole milk
2093,16-02-2014,waffles
2093,16-02-2014,whipped/sour cream
2093,24-12-2014,specialty bar
2093,24-12-2014,whipped/sour cream
2094,02-03-2014,whole milk
2094,02-03-2014,whole milk
2094,07-05-2014,other vegetables
2094,07-05-2014,shopping bags
2094,24-03-2014,bottled water
2094,24-03-2014,coffee
2095,06-04-2015,frozen meals
2095,06-04-2015,pip fruit
2095,06-04-2015,rolls/buns
2095,06-04-2015,whole milk
2095,29-09-2015,beverages
2095,29-09-2015,other vegetables
2096,25-01-2015,sausage
2096,25-01-2015,soda
2097,01-10-2015,chicken
2097,01-10-2015,domestic eggs
2097,01-10-2015,newspapers
2097,01-10-2015,rolls/buns
2097,01-10-2015,shopping bags
2097,01-10-2015,yogurt
2097,14-03-2014,dog food
2097,14-03-2014,newspapers
2097,14-03-2014,white wine
2097,28-09-2014,processed cheese
2097,28-09-2014,rolls/buns
2098,02-08-2014,canned beer
2098,02-08-2014,fruit/vegetable juice
2098,02-08-2014,rolls/buns
2098,02-08-2014,tropical fruit
2098,20-10-2014,flour
2098,20-10-2014,misc. beverages
2098,20-10-2014,pastry
2100,05-07-2015,coffee
2100,05-07-2015,frankfurter
2100,05-07-2015,ice cream
2100,05-07-2015,specialty cheese
2100,13-05-2014,condensed milk
2100,13-05-2014,yogurt
2100,13-10-2015,citrus fruit
2100,13-10-2015,frankfurter
2100,13-10-2015,whole milk
2100,19-09-2015,dishes
2100,19-09-2015,tropical fruit
2100,20-03-2014,butter
2100,20-03-2014,chocolate
2100,27-01-2015,dessert
2100,27-01-2015,other vegetables
2101,04-09-2015,UHT-milk
2101,04-09-2015,citrus fruit
2101,07-01-2015,chocolate
2101,07-01-2015,domestic eggs
2101,07-01-2015,root vegetables
2101,10-04-2015,citrus fruit
2101,10-04-2015,onions
2101,20-12-2015,canned beer
2101,20-12-2015,frozen vegetables
2101,20-12-2015,onions
2101,20-12-2015,sausage
2102,04-12-2014,pet care
2102,04-12-2014,root vegetables
2102,10-05-2015,other vegetables
2102,10-05-2015,rolls/buns
2102,10-05-2015,soda
2102,10-05-2015,vinegar
2102,14-02-2015,rolls/buns
2102,14-02-2015,root vegetables
2102,21-07-2014,butter
2102,21-07-2014,yogurt
2102,25-01-2015,beef
2102,25-01-2015,fruit/vegetable juice
2103,11-03-2015,dessert
2103,11-03-2015,frozen meals
2104,02-07-2014,bottled water
2104,02-07-2014,domestic eggs
2104,02-07-2014,pastry
2104,20-10-2015,cream cheese 
2104,20-10-2015,yogurt
2104,25-09-2014,berries
2104,25-09-2014,whole milk
2104,27-02-2015,berries
2104,27-02-2015,candy
2105,02-12-2014,curd
2105,02-12-2014,rolls/buns
2105,21-01-2015,bottled water
2105,21-01-2015,shopping bags
2105,21-01-2015,tropical fruit
2106,06-09-2014,other vegetables
2106,06-09-2014,whole milk
2106,13-08-2015,bottled water
2106,13-08-2015,other vegetables
2106,20-01-2014,fruit/vegetable juice
2106,20-01-2014,pastry
2106,24-11-2015,baking powder
2106,24-11-2015,cream cheese 
2106,24-11-2015,frankfurter
2106,24-11-2015,yogurt
2106,28-08-2015,cream cheese 
2106,28-08-2015,whole milk
2107,01-03-2015,bottled beer
2107,01-03-2015,brown bread
2107,01-03-2015,butter
2107,01-03-2015,coffee
2107,01-03-2015,frankfurter
2107,01-03-2015,frankfurter
2107,01-03-2015,margarine
2107,01-03-2015,soda
2107,01-03-2015,sugar
2107,08-01-2014,coffee
2107,08-01-2014,whole milk
2107,24-02-2014,other vegetables
2107,24-02-2014,salty snack
2107,27-11-2015,bottled water
2107,27-11-2015,frankfurter
2107,30-10-2014,canned beer
2107,30-10-2014,rolls/buns
2107,30-12-2014,newspapers
2107,30-12-2014,pip fruit
2108,01-10-2015,mayonnaise
2108,01-10-2015,tropical fruit
2108,01-10-2015,tropical fruit
2108,11-08-2015,tropical fruit
2108,11-08-2015,yogurt
2108,18-09-2014,beverages
2108,18-09-2014,whipped/sour cream
2109,21-03-2014,oil
2109,21-03-2014,whipped/sour cream
2109,22-06-2014,bottled beer
2109,22-06-2014,bottled water
2109,24-09-2015,male cosmetics
2109,24-09-2015,salt
2109,24-09-2015,sugar
2109,24-09-2015,yogurt
2109,28-10-2015,sausage
2109,28-10-2015,tropical fruit
2110,15-05-2015,coffee
2110,15-05-2015,domestic eggs
2110,22-11-2014,newspapers
2110,22-11-2014,whole milk
2110,29-07-2015,frankfurter
2110,29-07-2015,frozen meals
2110,29-07-2015,soda
2110,29-07-2015,tropical fruit
2111,07-12-2014,red/blush wine
2111,07-12-2014,tropical fruit
2111,12-11-2014,domestic eggs
2111,12-11-2014,shopping bags
2111,25-02-2015,candles
2111,25-02-2015,cream cheese 
2111,30-05-2014,bottled beer
2111,30-05-2014,other vegetables
2112,03-06-2014,sliced cheese
2112,03-06-2014,soda
2112,06-06-2014,popcorn
2112,06-06-2014,whole milk
2113,07-09-2015,bottled water
2113,07-09-2015,margarine
2113,07-09-2015,sausage
2113,07-09-2015,whole milk
2113,16-08-2015,UHT-milk
2113,16-08-2015,pork
2113,19-09-2014,hard cheese
2113,19-09-2014,yogurt
2114,06-11-2015,whole milk
2114,06-11-2015,whole milk
2114,22-08-2014,bottled water
2114,22-08-2014,dessert
2114,24-05-2015,frankfurter
2114,24-05-2015,soups
2115,18-11-2015,cling film/bags
2115,18-11-2015,hamburger meat
2115,18-11-2015,soda
2115,19-09-2014,canned beer
2115,19-09-2014,whipped/sour cream
2115,24-06-2015,berries
2115,24-06-2015,rolls/buns
2116,13-02-2014,fruit/vegetable juice
2116,13-02-2014,other vegetables
2116,29-08-2015,canned beer
2116,29-08-2015,yogurt
2117,02-05-2015,beef
2117,02-05-2015,brown bread
2117,02-05-2015,citrus fruit
2117,02-05-2015,frozen vegetables
2117,02-05-2015,long life bakery product
2117,02-05-2015,pasta
2117,02-05-2015,specialty cheese
2117,02-05-2015,whipped/sour cream
2117,07-11-2015,frankfurter
2117,07-11-2015,pastry
2117,07-11-2015,salt
2117,28-03-2015,bottled water
2117,28-03-2015,frozen meals
2118,16-01-2014,butter milk
2118,16-01-2014,frozen vegetables
2118,18-07-2015,coffee
2118,18-07-2015,fish
2118,18-07-2015,pot plants
2119,06-07-2014,cat food
2119,06-07-2014,onions
2119,11-06-2015,herbs
2119,11-06-2015,packaged fruit/vegetables
2119,24-09-2015,meat
2119,24-09-2015,other vegetables
2119,24-09-2015,soda
2119,24-09-2015,whipped/sour cream
2120,06-07-2014,yogurt
2120,06-07-2014,yogurt
2120,07-07-2014,bottled beer
2120,07-07-2014,whole milk
2120,07-10-2015,pip fruit
2120,07-10-2015,pork
2120,21-01-2014,napkins
2120,21-01-2014,soda
2120,26-01-2015,beef
2120,26-01-2015,whole milk
2120,27-02-2014,red/blush wine
2120,27-02-2014,root vegetables
2120,30-05-2014,butter
2120,30-05-2014,potato products
2121,03-11-2014,bottled water
2121,03-11-2014,chocolate
2121,22-04-2014,flower (seeds)
2121,22-04-2014,soda
2122,05-07-2014,hamburger meat
2122,05-07-2014,pastry
2122,05-07-2014,pet care
2122,06-04-2014,berries
2122,06-04-2014,oil
2122,06-04-2014,soda
2122,07-04-2015,frozen dessert
2122,07-04-2015,tropical fruit
2122,16-09-2014,domestic eggs
2122,16-09-2014,rolls/buns
2123,06-06-2014,cream cheese 
2123,06-06-2014,long life bakery product
2123,06-06-2014,pastry
2125,02-04-2014,chewing gum
2125,02-04-2014,oil
2125,02-04-2014,soda
2125,02-04-2014,yogurt
2125,25-06-2015,frozen meals
2125,25-06-2015,whipped/sour cream
2126,27-04-2014,brandy
2126,27-04-2014,other vegetables
2127,01-01-2015,pickled vegetables
2127,01-01-2015,pork
2127,16-04-2014,margarine
2127,16-04-2014,pastry
2127,19-11-2014,margarine
2127,19-11-2014,pip fruit
2127,19-11-2014,specialty cheese
2127,19-11-2015,bottled beer
2127,19-11-2015,citrus fruit
2127,19-11-2015,ice cream
2127,20-01-2014,fruit/vegetable juice
2127,20-01-2014,whole milk
2128,09-07-2015,brown bread
2128,09-07-2015,chicken
2128,09-07-2015,soda
2128,10-08-2015,sausage
2128,10-08-2015,soda
2128,11-02-2015,chocolate marshmallow
2128,11-02-2015,whole milk
2128,20-06-2015,citrus fruit
2128,20-06-2015,ham
2128,24-04-2015,frozen meals
2128,24-04-2015,rolls/buns
2129,04-03-2015,bottled beer
2129,04-03-2015,candy
2129,04-03-2015,sausage
2129,04-03-2015,yogurt
2129,05-01-2014,berries
2129,05-01-2014,coffee
2129,05-09-2014,condensed milk
2129,05-09-2014,tropical fruit
2129,11-08-2015,other vegetables
2129,11-08-2015,pork
2129,18-03-2015,fruit/vegetable juice
2129,18-03-2015,pip fruit
2129,18-03-2015,pip fruit
2129,18-03-2015,whole milk
2129,19-02-2014,bottled water
2129,19-02-2014,oil
2131,11-07-2014,other vegetables
2131,11-07-2014,yogurt
2131,12-12-2014,bottled water
2131,12-12-2014,sparkling wine
2131,15-04-2015,beef
2131,15-04-2015,yogurt
2131,18-02-2014,citrus fruit
2131,18-02-2014,soda
2131,22-09-2014,grapes
2131,22-09-2014,rolls/buns
2131,27-08-2015,other vegetables
2131,27-08-2015,sausage
2132,08-08-2014,chicken
2132,08-08-2014,pastry
2132,19-12-2014,newspapers
2132,19-12-2014,whipped/sour cream
2132,24-01-2014,chocolate
2132,24-01-2014,waffles
2132,24-01-2014,whole milk
2132,29-07-2014,rolls/buns
2132,29-07-2014,root vegetables
2132,30-01-2014,candy
2132,30-01-2014,sugar
2133,04-12-2014,curd
2133,04-12-2014,sausage
2133,05-07-2014,pork
2133,05-07-2014,processed cheese
2133,05-08-2015,shopping bags
2133,05-08-2015,soda
2133,05-08-2015,whole milk
2133,08-11-2014,fruit/vegetable juice
2133,08-11-2014,tropical fruit
2133,11-07-2015,brown bread
2133,11-07-2015,pork
2133,24-05-2014,bottled water
2133,24-05-2014,cat food
2133,24-05-2014,other vegetables
2133,27-04-2014,other vegetables
2133,27-04-2014,tropical fruit
2134,17-01-2014,bottled water
2134,17-01-2014,soda
2134,26-09-2015,beef
2134,26-09-2015,frozen vegetables
2134,26-09-2015,liquor (appetizer)
2134,27-08-2015,pastry
2134,27-08-2015,whole milk
2135,15-02-2014,hard cheese
2135,15-02-2014,instant coffee
